"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"538065",,"140","Sao Caetano do Sul (Terminal Rodoviario Nicolau Delic) / Santo Andre (Terminal Metropolitano Santo Andre-Leste)",,"3",,,
"538250",,"289","Diadema (Terminal Metropolitano Piraporinha) / Sao Paulo (Terminal Metropolitano Jabaquara)",,"3",,,
"538436",,"128","Embu das Artes (Jardim do Colegio) / Sao Paulo (Pinheiros)",,"3",,,
"538462",,"078PR1","Embu das Artes (Jardim Sao Marcos) / Sao Paulo (Pinheiros)",,"3",,,
"538587",,"052","Osasco (Jardim Elvira) / Sao Paulo (Lapa)",,"3",,,
"538615",,"481","Poa (T.R. Jardim Sao Jose) / Mogi das Cruzes (Estacao Cptm Estudantes)",,"3",,,
"539136",,"255","Diadema (Jardim Padre Anchieta) / Sao Bernardo do Campo (Terminal Metropolitano de Sao Bernardo do Campo)",,"3",,,
"539404",,"009","Embu-Guacu (Vila Louro) / Sao Paulo (Santo Amaro)",,"3",,,
"539410",,"114","Ferraz de Vasconcelos (Parque Sao Francisco) / Mogi das Cruzes (Estacao Cptm Estudantes)",,"3",,,
"540006",,"254","Sao Caetano do Sul (Terminal Rodoviario Nicolau Delic) / Diadema (Terminal Metropolitano Diadema)",,"3",,,
"540123",,"087","Santo Andre (Terminal Metropolitano Santo Andre-Leste) / Sao Paulo (Metro Itaquera)",,"3",,,
"540285",,"279","Diadema (Terminal Metropolitano de Diadema) / Sao Paulo (Metro Sao Judas)",,"3",,,
"540298",,"287PIR","Santo Andre (Terminal Metropolitano Santo Andre Oeste) / Diadema (Terminal Metropolitano Piraporinha)",,"3",,,
"540301",,"290","Diadema (Terminal Metropolitano Diadema) / Sao Paulo (Terminal Metropolitano Jabaquara)",,"3",,,
"540351",,"006","Sao Bernardo do Campo (Jardim Nazareth) / Sao Paulo (Terminal Sacoma)",,"3",,,
"540538",,"210","Biritiba Mirim (Casa Grande) / Mogi das Cruzes (Centro)",,"3",,,
"540577",,"245","Taboao da Serra (Jardim Sao Judas Tadeu) / Sao Paulo (Metro Campo Limpo)",,"3",,,
"540587",,"367","Suzano (Jardim Vitoria) / Mogi das Cruzes (Condominio Arua)",,"3",,,
"540600",,"190","Taboao da Serra (Jardim Sao Judas Tadeu) / Sao Paulo (Metro Conceicao)",,"3",,,
"540612",,"373","Suzano (Jardim Boa Vista) / Mogi das Cruzes (Estacao Cptm Estudantes)",,"3",,,
"540683",,"058","Osasco (Terminal Rodoviario Helena Maria) / Sao Paulo (Pinheiros)",,"3",,,
"541087",,"323","Santo Andre (Terminal Metropolitano Santo Andre Leste) / Sao Paulo (Jardim Climax)",,"3",,,
"541264",,"487","Maua (Terminal Metropolitano Sonia Maria) / Santo Andre (Shopping Abc)",,"3",,,
"541400",,"144","Mogi das Cruzes (Estacao Cptm Estudantes) / Sao Paulo (Metro Bras)",,"3",,,
"541457",,"090","Embu das Artes (Terminal Casa Branca) / Sao Paulo (Pinheiros)",,"3",,,
"541471",,"056","Embu das Artes (Centro) / Sao Paulo (Metro Campo Limpo)",,"3",,,
"541496",,"208","Guararema (Terminal Rodoviario de Guararema) / Mogi das Cruzes (Terminal Rodoviario Geraldo Scavone)",,"3",,,
"541591",,"044","Sao Paulo (Jardim Castelo) Sao Paulo (Itaim Bibi)",,"3",,,
"541652",,"526","Guararema (Chacara Guanabara) / Mogi das Cruzes (Terminal Rodoviario Geraldo Scavone)",,"3",,,
"541796",,"016","Guarulhos (Terminal Urbano Guarulhos) / Sao Paulo (Metro Armenia)",,"3",,,
"542356",,"494","Sao Caetano do Sul (Terminal Rodoviario Nicolau Delic) Sao Paulo (Metro Alto do Ipiranga)",,"3",,,
"542397",,"030","Juquitiba (Barnabes) / Itapecerica da Serra (Valo Velho)",,"3",,,
"542408",,"076","Poa (Terminal Rodoviario Jardim Sao Jose) / Sao Paulo (Metro Bras)",,"3",,,
"542466",,"206","Guararema (Centro) / Sao Paulo (Terminal Rodoviario Tiete)",,"3",,,
"543030",,"043","Sao Caetano do Sul (Terminal Rodoviario Nicolau Delic) / Santo Andre (Cata Preta)",,"3",,,
"543121",,"102","Sao Caetano do Sul (Bairro Fundacao) / Sao Paulo (Iv Centenario)",,"3",,,
"543214",,"452","Santo Andre (Terminal Metropolitano Santo Andre-Leste) / Sao Paulo (Jardim Sao Roberto)",,"3",,,
"543268",,"212","Diadema (Jardim Sapopema) / Sao Paulo (Terminal Sacoma)",,"3",,,
"543425",,"030BI1","Juquitiba (Bairro dos Justinos) / Itapecerica da Serra (Valo Velho)",,"3",,,
"544341",,"284","Sao Paulo (Terminal Metropolitano Sao Mateus) / Santo Andre(Terminal Metropolitano Santo Andre Oeste)",,"3",,,
"544403",,"001","Itapecerica da Serra (Parque Paraiso) / Sao Paulo (Metro Capao Redondo)",,"3",,,
"545147",,"218","Sao Bernardo do Campo (Area Verde) / Sao Paulo (Terminal Rodoviario Tiete)",,"3",,,
"545183",,"262","Santo Andre (Terminal Metropolitano Santo Andre Leste) / Sao Paulo (Artur Alvim)",,"3",,,
"545320",,"051","Diadema (Vila Sao Jose) / Sao Paulo (Saude)",,"3",,,
"546022",,"254DV1","Sao Caetano do Sul (Terminal Rodoviario Nicolau Delic) / Diadema (Terminal Metropolitano Diadema)",,"3",,,
"546055",,"194","Sao Caetano do Sul (Terminal Rodoviario Nicolau Delic) / Santo Andre (Cata Preta)",,"3",,,
"546059",,"156","Diadema (Eldorado) / Sao Bernardo do Campo (Baeta Neves)",,"3",,,
"546165",,"217","Sao Bernardo do Campo (Conjunto Terra Nova II) / Sao Paulo (Terminal Rodoviario Tiete)",,"3",,,
"546221",,"027","SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE) / SAO PAULO (JD TIETE)   -   RUA NAZARENO OPOSTO Nº 75",,"3",,,
"546244",,"284M","Sao Paulo (Terminal Metropolitano Sao Mateus) / Sao Bernardo do Campo (Shopping Metropole)",,"3",,,
"546273",,"236","Diadema (Terminal Metropolitano Piraporinha) / Sao Paulo (Terminal Sacoma)",,"3",,,
"546279",,"288PIR","Sao Bernardo do Campo (Terminal Metropolitano Ferrazopolis) / Diadema (Terminal Metropolitano Piraporinha)",,"3",,,
"546388",,"075","Aruja (Parque Rodrigo Barreto) / Sao Paulo (Metro Bras)",,"3",,,
"546445",,"029","Taboao da Serra (Jardim Monte Alegre) / Sao Paulo (Pinheiros)",,"3",,,
"546514",,"079","Taboao da Serra (Jardim Sao Judas Tadeu) / Sao Paulo (Pinheiros)",,"3",,,
"547086",,"069","Santo Andre (Terminal Metropolitano Santo Andre Leste) / Sao Paulo (Fabrica Trol)",,"3",,,
"547157",,"157","Maua (Silvia Maria) / Santo Andre (Terminal Urbano de Prefeito Saladino)",,"3",,,
"547219",,"218EX1","Sao Bernardo do Campo (Terminal Metropolitano Ferrazopolis) / Sao Paulo (Glicerio)",,"3",,,
"547262",,"358","Diadema (Vila Sao Jose) / Sao Paulo (Saude)",,"3",,,
